config_id,geometry_ok,stl_path,volume_mm3,volume_cm3,volume_m3,n_vertices,n_triangles,selected_output_name,error_message,step_ok,step_path,step_error
229,False,stl\prop_229.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_229.step,
230,False,stl\prop_230.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_230.step,
231,False,stl\prop_231.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_231.step,
232,False,stl\prop_232.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_232.step,
233,False,stl\prop_233.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_233.step,
234,False,stl\prop_234.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_234.step,
235,False,stl\prop_235.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_235.step,
236,False,stl\prop_236.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_236.step,
237,False,stl\prop_237.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_237.step,
238,False,stl\prop_238.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_238.step,
239,False,stl\prop_239.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_239.step,
240,False,stl\prop_240.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_240.step,
241,False,stl\prop_241.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_241.step,
242,False,stl\prop_242.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_242.step,
243,False,stl\prop_243.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_243.step,
244,False,stl\prop_244.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_244.step,
245,False,stl\prop_245.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_245.step,
