config_id,qprop_ok,V,rpm,Dbeta,T,Q,Pshaft,CT,CP,FOM,eff_aero,cl_avg,cd_avg
1209,True,0.0,4000.0,0.0,0.01842,0.001602,0.6709,0.003056,0.004089,0.02066,0.11951,0.0338,0.05612
1210,True,0.0,4000.0,0.0,0.1074,0.003229,1.353,0.0112,0.004613,0.12845,0.40417,0.0863,0.03976
1211,True,0.0,4000.0,0.0,0.3794,0.003663,1.534,0.05256,0.007461,0.80752,1.37655,0.6167,0.007453
1212,False,,,,,,,,,,,,
1213,True,0.0,4000.0,0.0,0.2497,0.003158,1.323,0.01998,0.00324,0.43583,0.9125,0.1269,0.01446
1214,True,0.0,4000.0,0.0,0.7205,0.01001,4.195,0.09981,0.0204,0.77277,1.33686,0.9492,0.007393
1215,True,0.0,4000.0,0.0,0.2002,0.003559,1.491,0.02774,0.00725,0.31846,0.74054,0.2101,0.04608
1216,True,0.0,4000.0,0.0,0.1689,0.001214,0.5084,0.01581,0.001515,0.65618,1.19855,0.1801,0.007457
1217,True,0.0,4000.0,0.0,0.1758,0.003615,1.514,0.01646,0.004511,0.23398,0.6029,0.1164,0.03101
1218,True,0.0,4000.0,0.0,0.5095,0.00713,2.987,0.09579,0.02128,0.6966,1.2474,0.6889,0.02563
1219,True,0.0,4000.0,0.0,0.1402,0.002878,1.205,0.01312,0.003592,0.20937,0.55938,0.0984,0.02723
